Player;Nation;Pos;Squad;Comp;Age;Born;90s;G/Sh;PasAss;ScaDrib;Tkl+Int
Arnaut Danjuma;NED;FW;Villarreal;La Liga;26;1997;5.3;0.09;0.94;0;0.57
Kevin Danso;AUT;DF;Lens;Ligue 1;24;1998;22;0.08;0.27;0.05;2.14
Dante;BRA;DF;Nice;Ligue 1;39;1983;22;0.09;0.18;0;3.09
Márton Dárdai;GER;DF;Hertha BSC;Bundesliga;21;2002;2;0;0;0;3.5
Sergi Darder;ESP;MF;Espanyol;La Liga;29;1993;19.7;0.1;2.13;0.2;2.64
Achraf Dari;MAR;DF;Brest;Ligue 1;23;1999;10;0.25;0.1;0;2.5
Vladimír Darida;CZE;MF;Hertha BSC;Bundesliga;32;1990;0.3;0;0;0;3.33
Matteo Darmian;ITA;DF;Inter;Serie A;33;1989;11;0.33;1.18;0;3.64
Josh Dasilva;ENG;MF;Brentford;Premier League;24;1998;11.1;0.23;0.81;0.18;1.53
Jonathan David;CAN;FW;Lille;Ligue 1;23;2000;19.5;0.16;1.49;0.15;0.97
Alphonso Davies;CAN;DF;Bayern Munich;Bundesliga;22;2000;15.5;0;1.81;0.13;2.9
Ben Davies;WAL;DF;Tottenham;Premier League;29;1993;16;0.2;0.81;0;1.75
Tom Davies;ENG;MF;Everton;Premier League;24;1998;4.6;0;0.22;0;2.83
Craig Dawson;ENG;DF;West Ham;Premier League;32;1990;8;0;0.13;0;2
Craig Dawson;ENG;DF;Wolves;Premier League;32;1990;2;0.5;0.5;0;1
Kevin De Bruyne;BEL;MF;Manchester City;Premier League;31;1991;17.8;0.06;3.6;0.22;1.29
Charles De Ketelaere;BEL;MFFW;Milan;Serie A;21;2001;7.8;0;2.05;0.26;1.79
Manuel De Luca;ITA;FW;Sampdoria;Serie A;24;1998;0.4;0;0;0;0
Rodrigo De Paul;ARG;MF;Atlético Madrid;La Liga;28;1994;9.7;0.13;2.16;0;1.55
Mattia De Sciglio;ITA;DF;Juventus;Serie A;30;1992;6.7;0;0.75;0;1.64
Lorenzo De Silvestri;ITA;DF;Bologna;Serie A;34;1988;5.8;0;0.69;0;0.69
Thibault De Smet;BEL;DF;Reims;Ligue 1;24;1998;7.8;0;0.51;0;3.46
Koni De Winter;BEL;DF;Empoli;Serie A;20;2002;8.9;0;0.22;0;2.02
Grégoire Defrel;MTQ;FW;Sassuolo;Serie A;31;1991;4.5;0.14;1.33;0;0.89
Duccio Degli Innocenti;ITA;MF;Empoli;Serie A;19;2003;0;0;0;0;1
Brecht Dejaegere;BEL;MF;Toulouse;Ligue 1;31;1991;13.3;0.24;0.53;0.3;2.56
Romain Del Castillo;FRA;FWMF;Brest;Ligue 1;26;1996;6.8;0.06;1.62;0.15;3.38
Alberto Del Moral;ESP;MF;Villarreal;La Liga;22;2000;0.1;0;0;0;0
Thomas Delaine;FRA;DF;Strasbourg;Ligue 1;30;1992;7.9;0;0.63;0.13;2.53
Thomas Delaney;DEN;MF;Sevilla;La Liga;31;1991;3.4;0;0.59;0;2.35
Thomas Delaney;DEN;MF;Hoffenheim;Bundesliga;31;1991;1.6;0;0;0;2.5
Sacha Delaye;FRA;FWMF;Montpellier;Ligue 1;20;2002;0.2;0.5;0;0;5
Fran Delgado;ESP;DF;Betis;La Liga;21;2001;0.1;0;0;0;0
Andy Delort;ALG;FW;Nice;Ligue 1;31;1991;8.7;0.13;1.26;0;0.34
Andy Delort;ALG;FW;Nantes;Ligue 1;31;1991;0.3;0;0;0;6.67
Karamoko Dembele;SCO;FWMF;Brest;Ligue 1;19;2003;1.4;0;2.14;0;0.71
Moussa Dembélé;FRA;FWMF;Lyon;Ligue 1;26;1996;6.8;0.1;0.15;0.15;0.88
Ousmane Dembélé;FRA;FW;Barcelona;La Liga;25;1997;12.2;0.13;2.79;0.57;1.39
Siriki Dembélé;CIV;FWMF;Bournemouth;Premier League;26;1996;1.2;0;3.33;0;3.33
Siriki Dembélé;CIV;FW;Auxerre;Ligue 1;26;1996;0.1;0;10;0;10
Merih Demiral;TUR;DF;Atalanta;Serie A;24;1998;13.6;0.2;0.22;0;3.82
Kerem Demirbay;GER;MF;Leverkusen;Bundesliga;29;1993;10;0.18;1.5;0.1;3.1
Diego Demme;GER;MF;Napoli;Serie A;31;1991;0.2;0;0;0;0
Sepp van den Berg;NED;DF;Schalke 04;Bundesliga;21;2001;3.6;0;0;0;2.78
Branco van den Boomen;NED;MF;Toulouse;Ligue 1;27;1995;21.4;0.03;2.76;0;2.2
Leander Dendoncker;BEL;MF;Aston Villa;Premier League;27;1995;3.8;0;1.32;0;4.47
Leander Dendoncker;BEL;MF;Wolves;Premier League;27;1995;2.4;0;0.83;0;5.42
Emmanuel Dennis;NGA;FW;Nott'ham Forest;Premier League;25;1997;4.5;0.09;0.89;0.22;1.56
Fabio Depaoli;ITA;DF;Hellas Verona;Serie A;25;1997;13;0.17;0.92;0;2.54
Fabio Depaoli;ITA;DFMF;Sampdoria;Serie A;25;1997;1.5;0;2.67;0;4
Kastriot Dermaku;ALB;DF;Lecce;Serie A;31;1992;0.4;0;0;0;0
Halil Derviþoðlu;TUR;MF;Brentford;Premier League;23;1999;0.1;0;0;0;0
Rémy Descamps;FRA;GK;Nantes;Ligue 1;26;1996;1;0;0;0;0
Mikkel Desler;DEN;DF;Toulouse;Ligue 1;27;1995;13.4;0;0.52;0.15;4.55
Cyriel Dessers;NGA;FW;Cremonese;Serie A;28;1994;13.4;0.08;1.27;0.07;0.75
Sergiño Dest;USA;DF;Milan;Serie A;22;2000;3.7;0;1.08;0.27;4.32
Mattia Destro;ITA;FW;Empoli;Serie A;31;1991;5.1;0.06;0.78;0.39;0.39
Gerard Deulofeu;ESP;FW;Udinese;Serie A;28;1994;13.5;0.05;3.56;0.44;0.74
Kiernan Dewsbury-Hall;ENG;MF;Leicester City;Premier League;24;1998;17.1;0.13;1.75;0.29;2.75
Samuel Di Carmine;ITA;FWMF;Cremonese;Serie A;34;1988;0.3;0;0;0;0
Federico Di Francesco;ITA;FWMF;Lecce;Serie A;28;1994;12.5;0.04;1.28;0.24;1.68
Michele Di Gregorio;ITA;GK;Monza;Serie A;25;1997;21;0;0;0;0.14
Giovanni Di Lorenzo;ITA;DF;Napoli;Serie A;29;1993;20.9;0.06;1.39;0;2.49
Ángel Di María;ARG;FW;Juventus;Serie A;34;1988;6.8;0.12;3.09;0.59;1.32
Boulaye Dia;SEN;FW;Salernitana;Serie A;26;1996;16.3;0.32;1.35;0.12;0.74
Moussa Diaby;FRA;FW;Leverkusen;Bundesliga;23;1999;18.4;0.17;2.01;0.27;0.82
Mouctar Diakhaby;GUI;DF;Valencia;La Liga;26;1996;12.8;0.29;0.23;0;2.03
Bafodé Diakité;FRA;DF;Lille;Ligue 1;22;2001;19.4;0;0.26;0;2.37
Ibrahim Diakité;GUI;DF;Reims;Ligue 1;19;2003;1.5;0;0;0;5.33
Abdou Diallo;SEN;DFMF;RB Leipzig;Bundesliga;26;1996;4.8;0.25;0.21;0;2.71
Baila Diallo;FRA;DF;Clermont Foot;Ligue 1;21;2001;0.4;0;0;0;0
Habib Diallo;SEN;FW;Strasbourg;Ligue 1;27;1995;17.1;0.24;0.7;0.12;1.29
Ibrahima Diallo;FRA;MF;Southampton;Premier League;23;1999;7.9;0;0.25;0;2.91
Ismael Diallo;CIV;DF;Ajaccio;Ligue 1;26;1997;17;0;0.41;0;2.65
Mamady Diarra;MLI;MFDF;Cádiz;La Liga;22;2000;0.7;0;0;0;2.86
Mouhamadou Diarra;SEN;MF;Strasbourg;Ligue 1;19;2004;9.1;0;0.55;0.33;2.64
Moussa Diarra;MLI;DF;Toulouse;Ligue 1;22;2000;11;0;0.55;0;3.18
Stéphane Diarra;FRA;FW;Lorient;Ligue 1;24;1998;9.1;0.06;0.33;0.44;4.18
Youba Diarra;MLI;MF;Cádiz;La Liga;24;1998;0.5;0;0;0;6
Rúben Dias;POR;DF;Manchester City;Premier League;25;1997;9.7;0;0.21;0;1.86
Krépin Diatta;SEN;MFFW;Monaco;Ligue 1;23;1999;14.9;0.06;1.01;0.34;1.88
Mory Diaw;SEN;GK;Clermont Foot;Ligue 1;29;1993;23;0;0.09;0;0.09
Brahim Díaz;ESP;MF;Milan;Serie A;23;1999;11.5;0.19;2.09;0.43;1.91
Luis Díaz;COL;FW;Liverpool;Premier League;26;1997;6.8;0.19;0.88;0.59;1.76
Justin Diehl;GER;FW;Köln;Bundesliga;18;2004;0.1;0;0;0;0
Bamba Dieng;SEN;FWMF;Marseille;Ligue 1;22;2000;2.2;0.09;0.91;0;1.82
Bamba Dieng;SEN;FWMF;Lorient;Ligue 1;22;2000;1;0;2;0;2
Eric Dier;ENG;DF;Tottenham;Premier League;29;1994;21.3;0.14;0.28;0;2.16
Florian Dietz;GER;FW;Köln;Bundesliga;24;1998;4.4;0.06;0.91;0.23;0.45
Lucas Digne;FRA;DF;Aston Villa;Premier League;29;1993;12.3;0.17;1.06;0;2.85
Federico Dimarco;ITA;DF;Inter;Serie A;25;1997;16.3;0.1;2.27;0.06;2.09
Stole Dimitrievski;MKD;GK;Rayo Vallecano;La Liga;29;1993;19;0;0.05;0;0
Junior Dina Ebimbe;FRA;DFMF;Eint Frankfurt;Bundesliga;22;2000;8.7;0.13;0.92;0.11;3.56
Tristan Dingomé;CMR;MF;Troyes;Ligue 1;31;1991;1.1;0;3.64;0.91;0.91
Eren Dinkçi;GER;FWMF;Werder Bremen;Bundesliga;21;2001;1.5;0;1.33;0;2
Sinaly Diomande;CIV;DF;Lyon;Ligue 1;21;2001;9.9;0;0.1;0;4.85
Lois Diony;FRA;FW;Angers;Ligue 1;30;1992;4.9;0.1;1.02;0.41;0.2
Issa Diop;FRA;DF;Fulham;Premier League;26;1997;12.7;0.33;0.08;0;2.83
Sofiane Diop;FRA;MFFW;Nice;Ligue 1;22;2000;9.9;0.06;1.41;0.1;2.22
Sofiane Diop;FRA;MF;Monaco;Ligue 1;22;2000;0.7;0.5;4.29;1.43;1.43
Yehvann Diouf;FRA;GK;Reims;Ligue 1;23;1999;15;0;0.07;0;0.07
Axel Disasi;FRA;DF;Monaco;Ligue 1;24;1998;22;0.14;0.36;0;2.82
Malcom Abdulai Ares Djalo;ESP;FW;Athletic Club;La Liga;21;2001;0.1;0;0;10;0
Tiago Djaló;POR;DF;Lille;Ligue 1;22;2000;19.3;0.17;0.1;0;2.75
Djené;TOG;DF;Getafe;La Liga;31;1991;17.1;0;0.06;0;2.75
Moussa Djenepo;MLI;DFFW;Southampton;Premier League;24;1998;6.4;0;0.94;0.16;4.38
Koffi Djidji;CIV;DF;Torino;Serie A;30;1992;16.9;0.13;0.12;0;3.25
Alexander Djiku;GHA;DF;Strasbourg;Ligue 1;28;1994;20;0.09;0.3;0;4
Berat Djimsiti;ALB;DF;Atalanta;Serie A;29;1993;6.9;0;0.14;0;4.06
Moussa Djitte;SEN;FW;Ajaccio;Ligue 1;23;1999;0.4;0;0;0;2.5
Alan Do Marcolino;GAB;FW;Rennes;Ligue 1;20;2002;0.1;0;0;0;0
Ben Doak;SCO;FW;Liverpool;Premier League;17;2005;0.3;0;0;0;10
Ritsu Doan;JPN;FWMF;Freiburg;Bundesliga;24;1998;16.5;0.06;1.03;0.36;3.15
Dodô;BRA;DF;Fiorentina;Serie A;24;1998;13.2;0;0.76;0.08;2.2
Danilho Doekhi;NED;DF;Union Berlin;Bundesliga;24;1998;10.9;0.8;0.18;0;3.21
Matt Doherty;IRL;DFMF;Tottenham;Premier League;31;1992;7.4;0.1;0.81;0.27;3.24
Josh Doig;SCO;DF;Hellas Verona;Serie A;20;2002;10.4;0.13;1.06;0.29;2.31
Jeremy Doku;BEL;MFFW;Rennes;Ligue 1;20;2002;4.7;0;1.91;0.64;2.55
Kasper Dolberg;DEN;FW;Sevilla;La Liga;25;1997;2.2;0;0.45;0;0.45
Kasper Dolberg;DEN;FWMF;Hoffenheim;Bundesliga;25;1997;2.4;0;1.25;0;0.83
Carlos Dominguez;ESP;MF;Celta Vigo;La Liga;22;2001;0;0;0;0;0
Nicolás Domínguez;ARG;MF;Bologna;Serie A;24;1998;14.8;0.05;1.49;0.14;4.05
John Donald;ESP;DF;Elche;La Liga;22;2000;1.7;0;0;0;3.53
Giulio Donati;ITA;DF;Monza;Serie A;33;1990;2.4;0;0;0;3.33
Kyliane Dong;FRA;DFMF;Troyes;Ligue 1;18;2004;0.6;0;0;0;3.33
Gianluigi Donnarumma;ITA;GK;Paris S-G;Ligue 1;23;1999;23;0;0;0;0
Niklas Dorsch;GER;MF;Augsburg;Bundesliga;25;1998;0.9;0;0;0;8.89
Gabriel Dos Santos;BRA;DF;Arsenal;Premier League;25;1997;21;0.11;0.05;0;2.29
Jodel Dossou;BEN;MFDF;Clermont Foot;Ligue 1;30;1992;2.9;0.17;1.03;0;2.76
Lohann Doucet;FRA;MFFW;Nantes;Ligue 1;20;2002;0.9;0;1.11;0;5.56
Abdoulaye Doucouré;MLI;MF;Everton;Premier League;30;1993;3.5;0;0.29;0;2.57
Cheick Doucouré;MLI;MF;Crystal Palace;Premier League;23;2000;18.3;0;0.98;0.11;5.08
Ckene Doucouré;COM;FWMF;Lorient;Ligue 1;20;2002;0.6;0;3.33;0;5
Désiré Doué;FRA;MFFW;Rennes;Ligue 1;17;2005;7.8;0.23;0.9;0.26;4.36
Guela Doué;FRA;FW;Rennes;Ligue 1;20;2002;0.1;0;0;0;0
Ismaël Doukouré;FRA;DF;Strasbourg;Ligue 1;19;2003;11.3;0.25;0.09;0.09;2.57
Kamory Doumbia;MLI;MF;Reims;Ligue 1;19;2003;9.9;0.05;1.52;0.2;3.33
Souleyman Doumbia;CIV;DFFW;Angers;Ligue 1;26;1996;16.4;0;0.61;0.12;3.35
Flynn Downes;ENG;MF;West Ham;Premier League;24;1999;3.4;0;0.29;0;2.94
Cody Drameh;ENG;DF;Leeds United;Premier League;21;2001;0.8;0;0;0;7.5
Dion Drena Beljo;CRO;FW;Augsburg;Bundesliga;20;2002;3.6;0;1.11;0;0.83
Dominick Drexler;GER;MFFW;Schalke 04;Bundesliga;32;1990;9.3;0.2;1.29;0.11;1.94
Domingos Duarte;POR;DF;Getafe;La Liga;27;1995;18.5;0;0.16;0;2.27
Marvin Ducksch;GER;FW;Werder Bremen;Bundesliga;28;1994;18.5;0.08;2.05;0.11;0.65
Ondrej Duda;SVK;MF;Hellas Verona;Serie A;28;1994;1.4;0;0.71;0;5.71
Ondrej Duda;SVK;MF;Köln;Bundesliga;28;1994;7.7;0;1.04;0.26;1.43
Shane Duffy;IRL;FWDF;Fulham;Premier League;31;1992;0.1;0;0;0;0
Rémy Dugimont;FRA;FWMF;Auxerre;Ligue 1;36;1986;1.2;0;2.5;0;1.67
Denzel Dumfries;NED;DF;Inter;Serie A;26;1996;13.3;0.05;1.43;0.08;1.65
Alfred Duncan;GHA;MF;Fiorentina;Serie A;29;1993;6;0;0.5;0;2.5
Lewis Dunk;ENG;DF;Brighton;Premier League;31;1991;21;0;0.05;0;1.62
Maxime Dupé;FRA;GK;Toulouse;Ligue 1;29;1993;22;0;0;0;0
Jhon Durán;COL;FW;Aston Villa;Premier League;19;2003;0.1;0;0;0;0
Pablo Durán;ESP;MFDF;Celta Vigo;La Liga;22;2001;0.4;0;0;0;2.5
Hugo Duro;ESP;FWMF;Valencia;La Liga;23;1999;6;0.06;1;0.17;1
Jean-Kevin Duverne;FRA;DF;Brest;Ligue 1;25;1997;15.4;0;0.52;0;3.83
Paulo Dybala;ARG;MFFW;Roma;Serie A;29;1993;13.1;0.16;2.9;0.08;1.15
Malcolm Ebiowei;ENG;MFFW;Crystal Palace;Premier League;19;2003;0.4;0;0;0;2.5
Festy Ebosele;IRL;DF;Udinese;Serie A;20;2002;0.5;0;0;0;4
Enzo Ebosse;CMR;DF;Udinese;Serie A;23;1999;10.1;0;0.1;0;2.38
Tyronne Ebuehi;NGA;DF;Empoli;Serie A;27;1995;9.1;0.1;0.33;0;1.54
Ederson;BRA;GK;Manchester City;Premier League;29;1993;21;0;0.05;0;0.05
Éderson;BRA;MFFW;Atalanta;Serie A;23;1999;12;0.05;0.92;0.08;4.58
Odsonne Édouard;FRA;FWMF;Crystal Palace;Premier League;25;1998;12.1;0.12;0.99;0.08;1.98
Samuel Edozie;ENG;FWMF;Southampton;Premier League;20;2003;6;0;1;0.5;3.5
Maximilian Eggestein;GER;MF;Freiburg;Bundesliga;26;1996;15.5;0;0.9;0.06;3.1
Lilian Egloff;GER;MFFW;Stuttgart;Bundesliga;20;2002;2.7;0;1.48;0;4.81
Íñigo Eguaras;ESP;MF;Almería;La Liga;30;1992;7;0.2;1.29;0;2.14
Kingsley Ehizibue;NED;DF;Udinese;Serie A;27;1995;6.9;0.2;0.58;0;2.75
Kingsley Ehizibue;NED;DF;Köln;Bundesliga;27;1995;0.7;0;0;0;2.86
Chidera Ejuke;NGA;FWMF;Hertha BSC;Bundesliga;25;1998;8.8;0;0.91;0.57;0.68
Albin Ekdal;SWE;MF;Spezia;Serie A;33;1989;6.5;0;0.46;0;2.77
Hugo Ekitike;FRA;FW;Paris S-G;Ligue 1;20;2002;8.2;0.17;0.73;0;1.46
Emmanuel Ekong;SWE;FWMF;Empoli;Serie A;20;2002;0.2;0;0;0;0
Anthony Elanga;SWE;FW;Manchester Utd;Premier League;20;2002;4.4;0;1.14;0;0.91
Alberth Elis;HON;MFFW;Brest;Ligue 1;27;1996;0.8;0;2.5;0;3.75
Mikael Ellertsson;ISL;MFDF;Spezia;Serie A;20;2002;1.9;0;0.53;0.53;3.16
Harvey Elliott;ENG;MFFW;Liverpool;Premier League;19;2003;12.6;0.05;1.27;0.4;1.51
Elif Elmas;MKD;FWMF;Napoli;Serie A;23;1999;9.2;0.25;1.09;0.33;2.17
Mohamed Elneny;EGY;MF;Arsenal;Premier League;30;1992;1.3;0;0;0;0.77
Aritz Elustondo;ESP;DF;Real Sociedad;La Liga;28;1994;11.4;0;0.35;0;3.42
Nico Elvedi;SUI;DF;M'Gladbach;Bundesliga;26;1996;16.5;0.2;0.3;0;2.73
Rodrigo Ely;BRA;DF;Almería;La Liga;29;1993;19.1;0;0.16;0.05;1.73
Sepe Elye Wahi;FRA;FW;Montpellier;Ligue 1;20;2003;17.1;0.21;0.53;0.06;0.58
Mohamed Elyounoussi;NOR;MFFW;Southampton;Premier League;28;1994;15.6;0;0.9;0;2.63
Adri Embarba;ESP;FWMF;Almería;La Liga;30;1992;8.7;0.05;2.18;0.46;4.48
Adri Embarba;ESP;FW;Espanyol;La Liga;30;1992;0.4;0;0;5;2.5
Breel Embolo;SUI;FW;Monaco;Ligue 1;25;1997;17.1;0.35;1.46;0.29;1.05
Emerson;BRA;DF;Tottenham;Premier League;24;1999;13.3;0.08;0.45;0;3.46
Youssef En-Nesyri;MAR;FW;Sevilla;La Liga;25;1997;8.2;0.12;0.37;0;1.46
Wataru Endo;JPN;MF;Stuttgart;Bundesliga;30;1993;18.5;0.11;1.24;0.11;3.14
Arne Engels;BEL;MF;Augsburg;Bundesliga;19;2003;4.7;0;2.55;0.21;3.62
Christian Eriksen;DEN;MF;Manchester Utd;Premier League;30;1992;16.5;0.04;1.52;0.06;1.21
Martin Erlic;CRO;DF;Sassuolo;Serie A;25;1998;13.6;0;0;0;2.21
Gonzalo Escalante;ARG;MF;Cremonese;Serie A;29;1993;6.2;0;0.65;0;4.19
Gonzalo Escalante;ARG;MF;Cádiz;La Liga;29;1993;2.3;0.4;1.3;0;4.35
Sergio Escudero;ESP;DF;Valladolid;La Liga;33;1989;8.5;0;0.94;0;3.76
Alfonso Espino;URU;DF;Cádiz;La Liga;31;1992;19.7;0;0.76;0;3.76
Bernardo Espinosa;COL;DF;Girona;La Liga;33;1989;9.4;0;0.11;0;0.96
Salvatore Esposito;ITA;MF;Spezia;Serie A;22;2000;2.1;0;0.48;0;2.38
Maxime Estève;FRA;DF;Montpellier;Ligue 1;20;2002;14.8;0;0.07;0;3.58
Pervis Estupiñán;ECU;DF;Brighton;Premier League;25;1998;14;0;1.5;0;3.71
Jonny Evans;NIR;DF;Leicester City;Premier League;35;1988;9;0;0.11;0;2.89
Edu Expósito;ESP;MF;Espanyol;La Liga;26;1996;10.3;0.15;1.46;0.1;3.4
Eberechi Eze;ENG;MFFW;Crystal Palace;Premier League;24;1998;17.2;0.08;1.98;0.23;1.8
Nicolás Ezequiel Fernández;ARG;MFDF;Elche;La Liga;23;2000;3.5;0;1.43;0;6
Abdessamad Ezzalzouli;MAR;FWMF;Osasuna;La Liga;21;2001;6.5;0;0.77;0.31;2.62
Fabinho;BRA;MF;Liverpool;Premier League;29;1993;13.9;0;0.43;0;3.74
Fábio;BRA;DFMF;Nantes;Ligue 1;32;1990;2.5;0;1.6;0;2.8
Noah Fadiga;SEN;DF;Brest;Ligue 1;23;1999;9.8;0.11;0.2;0.31;3.37
Wout Faes;BEL;DF;Leicester City;Premier League;24;1998;16;0;0.19;0;3.44
Wout Faes;BEL;DF;Reims;Ligue 1;24;1998;3;0;0.33;0;2.67
Nicolò Fagioli;ITA;MF;Juventus;Serie A;22;2001;6.3;0.33;1.75;0;2.54
Ralf Fährmann;GER;GK;Schalke 04;Bundesliga;34;1988;3;0;0;0;0
Romain Faivre;FRA;FW;Lorient;Ligue 1;24;1998;1.3;0;1.54;1.54;0.77
Romain Faivre;FRA;MF;Lyon;Ligue 1;24;1998;3.3;0;1.82;0;1.82
Radamel Falcao;COL;FWMF;Rayo Vallecano;La Liga;37;1986;5.2;0.07;0.19;0.19;0.96
Wladimiro Falcone;ITA;GK;Lecce;Serie A;27;1995;22;0;0.05;0;0.14
Fali;ESP;DFMF;Cádiz;La Liga;29;1993;10.2;0;0.29;0;1.76
Mamadou Fall;SEN;DF;Villarreal;La Liga;20;2002;0.3;0;0;0;0
Davide Faraoni;ITA;DF;Hellas Verona;Serie A;31;1991;5.3;0;0.57;0.38;2.64
Ansu Fati;ESP;FW;Barcelona;La Liga;20;2002;8.6;0.08;0.93;0.81;1.51
Khalil Fayad;FRA;MF;Montpellier;Ligue 1;18;2004;4.6;0;1.09;0.22;5.22
Cheikh Faye;SEN;FW;Montpellier;Ligue 1;24;1999;0.4;0;0;0;2.5
Federico Fazio;ARG;DF;Salernitana;Serie A;35;1987;11.8;0.09;0.25;0;3.64
Jacopo Fazzini;ITA;MF;Empoli;Serie A;19;2003;2.7;0;0.74;0;7.04
Zouhair Feddal;MAR;DF;Valladolid;La Liga;34;1989;4.2;0;0.48;0;2.14
Nabil Fekir;FRA;MF;Betis;La Liga;29;1993;8.7;0.05;2.18;0.34;1.03
Felipe;BRA;DF;Nott'ham Forest;Premier League;33;1989;0.9;0;0;0;5.56
Felipe;BRA;DF;Atlético Madrid;La Liga;33;1989;2.2;0;0.45;0;1.36
Luiz Felipe;ITA;DF;Betis;La Liga;25;1997;8.6;0;0.12;0;2.79
João Félix;POR;MFFW;Chelsea;Premier League;23;1999;1.6;0.11;1.88;0.63;1.88
João Félix;POR;FWMF;Atlético Madrid;La Liga;23;1999;7.2;0.15;1.39;0.42;1.81
Ohis Felix Uduokhai;GER;DF;Augsburg;Bundesliga;25;1997;9.8;0;0.2;0;3.67
Kiko Femenía;ESP;DF;Villarreal;La Liga;32;1991;9.9;0;0.71;0;2.22
Evan Ferguson;IRL;FW;Brighton;Premier League;18;2004;2.6;0.38;1.15;0;0.38
Lewis Ferguson;SCO;MF;Bologna;Serie A;23;1999;11.2;0.16;0.63;0.09;2.95
Bruno Fernandes;POR;MFFW;Manchester Utd;Premier League;28;1994;21;0.09;2.71;0.14;3.14
Edimilson Fernandes;SUI;DF;Mainz 05;Bundesliga;26;1996;14.1;0;0.57;0.07;3.83
Aitor Fernández;ESP;GK;Osasuna;La Liga;31;1991;10;0;0;0;0.2
Álex Fernández;ESP;MFFW;Cádiz;La Liga;30;1992;13.6;0.17;0.81;0.07;1.4
Álvaro Fernández;ESP;GK;Espanyol;La Liga;24;1998;10;0;0.1;0;0
Carlos Fernández;ESP;FW;Real Sociedad;La Liga;26;1996;2.8;0;1.79;0;1.07
Enzo Fernández;ARG;MF;Chelsea;Premier League;22;2001;2;0;1;0.5;6.5
Federico Fernández;ARG;DF;Elche;La Liga;33;1989;1;0;0;0;3
Joaquín Fernández;ESP;DF;Valladolid;La Liga;26;1996;14.6;0.13;0.14;0;2.4
Mateo Fernández;ESP;FWMF;Leeds United;Premier League;19;2003;0;0;0;0;0
Fernando;ESP;GK;Almería;La Liga;32;1990;20;0;0;0;0
Fernando;BRA;MFDF;Sevilla;La Liga;35;1987;10.8;0;0.46;0;3.7
Alex Ferrari;ITA;DF;Sampdoria;Serie A;28;1994;9.6;0;0.31;0;2.92
Alex Ferrari;ITA;DF;Cremonese;Serie A;28;1994;4.1;0;0.49;0;6.83
Salvador Ferrer;ESP;DF;Spezia;Serie A;25;1998;1;0;1;0;3
Jordan Ferri;FRA;MF;Montpellier;Ligue 1;30;1992;16.8;0;0.83;0;2.44
Fidel;ESP;FWMF;Elche;La Liga;33;1989;4.5;0;1.33;0;1.33
Karol Fila;POL;DF;Strasbourg;Ligue 1;24;1998;0.5;0;0;0;2
Roberto Firmino;BRA;FWMF;Liverpool;Premier League;31;1991;10.3;0.21;1.65;0.29;1.84
Junior Firpo;ESP;DF;Leeds United;Premier League;26;1996;2.3;0;0.87;0;3.04
Kilian Fischer;GER;DFFW;Wolfsburg;Bundesliga;22;2000;1.3;0;0;0;2.31
Mark Flekken;NED;GK;Freiburg;Bundesliga;29;1993;20;0;0.1;0;0
Florian Flick;GER;MF;Schalke 04;Bundesliga;22;2000;5.7;0;0.18;0;2.81
Alexis Flips;FRA;DFMF;Reims;Ligue 1;23;2000;11.2;0.07;2.32;0.09;4.02
Alessandro Florenzi;ITA;DF;Milan;Serie A;31;1991;1.1;0;0.91;0;3.64
Phil Foden;ENG;FWDF;Manchester City;Premier League;22;2000;11.6;0.25;1.9;0;1.29
Datro Fofana;CIV;FWMF;Chelsea;Premier League;20;2002;0.2;0;0;10;5
Seko Fofana;CIV;MF;Lens;Ligue 1;27;1995;19.4;0.05;1.03;0.1;1.44
Wesley Fofana;FRA;DF;Leicester City;Premier League;22;2000;2;0;0;0;6.5
Wesley Fofana;FRA;DF;Chelsea;Premier League;22;2000;2;0;0;0;4
Yahia Fofana;FRA;GK;Angers;Ligue 1;22;2000;8;0;0;0;0.13
Youssouf Fofana;FRA;MF;Monaco;Ligue 1;24;1999;20.4;0.05;0.83;0.2;3.82
Thomas Foket;BEL;DF;Reims;Ligue 1;28;1994;6.9;0;1.45;0;3.33
José Fonte;POR;DF;Lille;Ligue 1;39;1983;17.7;0.09;0.23;0;2.03
Pablo Fornals;ESP;FWMF;West Ham;Premier League;26;1996;10.7;0.06;1.03;0;2.43
Emil Forsberg;SWE;MFFW;RB Leipzig;Bundesliga;31;1991;8.4;0.14;0.71;0;1.31
Adam Forshaw;ENG;MF;Leeds United;Premier League;31;1991;1.8;0;1.11;0;1.11
Fraser Forster;ENG;GK;Tottenham;Premier League;34;1988;2;0;0;0;0
Philipp Förster;GER;MF;Bochum;Bundesliga;28;1995;9.6;0.17;1.46;0;2.5
Steven Fortes;CPV;DF;Lens;Ligue 1;30;1992;0.1;0;0;0;0
Timothy Fosu-Mensah;NED;DF;Leverkusen;Bundesliga;25;1998;1.3;0;1.54;0;3.08
Dimitri Foulquier;FRA;DFMF;Valencia;La Liga;29;1993;7.4;0;0.54;0;3.11
Juan Foyth;ARG;DF;Villarreal;La Liga;25;1998;7;0.33;0.71;0;4.57
Raphael Framberger;GER;DFFW;Augsburg;Bundesliga;27;1995;2;0;0.5;0;6
Tyrese Francois;AUS;FW;Fulham;Premier League;22;2000;0;0;0;0;0
