Player;Nation;Pos;Squad;Comp;Age;Born;90s;G/Sh;PasAss;ScaDrib;Tkl+Int
Cala;ESP;DF;Cádiz;La Liga;33;1989;1.5;0;0;0;2
Davide Calabria;ITA;DF;Milan;Serie A;26;1996;11.1;0.14;0.81;0;6.04
Mattia Caldara;ITA;DF;Spezia;Serie A;28;1994;10.8;0;0.09;0;3.06
Luca Caldirola;ITA;DF;Monza;Serie A;32;1991;14.6;0;0.21;0;1.92
Fernando Calero;ESP;DFMF;Espanyol;La Liga;27;1995;13.1;0;0.23;0;3.28
Hakan Çalhanoðlu;TUR;MF;Inter;Serie A;29;1994;17;0.04;2.59;0;3.18
Kerim Calhanoglu;GER;DF;Schalke 04;Bundesliga;20;2002;0.7;0;4.29;0;2.86
Daniel Caligiuri;ITA;DFMF;Augsburg;Bundesliga;35;1988;2.9;0.2;1.03;0;3.79
Alexander Callens;PER;DF;Girona;La Liga;30;1992;0.5;0;0;0;4
Dominic Calvert-Lewin;ENG;FW;Everton;Premier League;25;1997;8.1;0.06;0.49;0.37;0.49
Mahdi Camara;FRA;MF;Brest;Ligue 1;24;1998;12.8;0;0.23;0.08;4.77
Mohamed Camara;GUI;MF;Roma;Serie A;25;1997;4.2;0;0.48;0;3.57
Mohamed Camara;MLI;MF;Monaco;Ligue 1;23;2000;15.4;0;0.78;0.06;4.74
Ousmane Camara;GUI;FWMF;Auxerre;Ligue 1;21;2001;0.3;0;3.33;0;3.33
Ousmane Camara;FRA;DF;Angers;Ligue 1;19;2003;2.2;0;0;0;2.73
Eduardo Camavinga;FRA;MFDF;Real Madrid;La Liga;20;2002;10.2;0;1.27;0.39;3.82
Nicolò Cambiaghi;ITA;FWMF;Empoli;Serie A;22;2000;5.8;0.12;0.86;0.17;3.28
Andrea Cambiaso;ITA;DF;Bologna;Serie A;22;2000;12.8;0;1.17;0.16;3.98
Axel Camblan;FRA;FWMF;Brest;Ligue 1;19;2003;0.8;0;2.5;0;2.5
Sergio Camello;ESP;FW;Rayo Vallecano;La Liga;22;2001;15.9;0.12;1.01;0.19;0.69
Chem Campbell;WAL;FWMF;Wolves;Premier League;20;2002;0.8;0;0;1.25;3.75
Emre Can;GER;MF;Dortmund;Bundesliga;29;1994;8.1;0;0.62;0;4.57
Sergio Canales;ESP;FWMF;Betis;La Liga;31;1991;16.2;0.12;1.85;0.12;1.67
Matteo Cancellieri;ITA;FW;Lazio;Serie A;21;2002;2.3;0;1.3;0;3.48
João Cancelo;POR;DF;Manchester City;Premier League;28;1994;14.2;0.12;0.85;0.14;3.38
João Cancelo;POR;DFFW;Bayern Munich;Bundesliga;28;1994;1.5;0;2.67;0;4
Antonio Candreva;ITA;DFMF;Salernitana;Serie A;35;1987;17.9;0.09;1.68;0;1.34
Thomas Cannon;IRL;FW;Everton;Premier League;20;2002;0.3;0;3.33;0;0
Sergi Canós;ESP;FWDF;Brentford;Premier League;26;1997;0.9;0;1.11;0;0
Ander Capa;ESP;MFFW;Athletic Club;La Liga;31;1992;0.1;0;0;0;0
Pierrick Capelle;FRA;MFDF;Angers;Ligue 1;35;1987;9.1;0;0.88;0;4.18
Étienne Capoue;FRA;MF;Villarreal;La Liga;34;1988;13;0;0.38;0;2.31
Gianluca Caprari;ITA;MFFW;Monza;Serie A;29;1993;14.7;0.09;1.02;0.07;0.82
Francesco Caputo;ITA;FW;Sampdoria;Serie A;35;1987;12.2;0.05;0.74;0.08;0.33
Francesco Caputo;ITA;FWMF;Empoli;Serie A;35;1987;6.5;0.06;1.23;0;0.15
Maxence Caqueret;FRA;MF;Lyon;Ligue 1;22;2000;16.3;0.06;1.84;0.31;4.11
Andrea Carboni;ITA;DF;Monza;Serie A;22;2001;1.9;0;0.53;0;3.16
Valentin Carboni;ITA;MFFW;Inter;Serie A;17;2005;0.1;0;0;0;0
Isaac Carcelen;ESP;DF;Cádiz;La Liga;29;1993;11.7;0;0.34;0;4.7
Irvin Cardona;FRA;FWMF;Brest;Ligue 1;25;1997;2.6;0;1.15;0;1.54
Irvin Cardona;FRA;MF;Augsburg;Bundesliga;25;1997;0.6;0;0;0;3.33
Igor Carioca;BRA;FW;Lorient;Ligue 1;26;1996;0.1;0;0;0;20
Carlos;BRA;DF;Monza;Serie A;24;1999;19.5;0.16;0.56;0.1;2.21
Diego Carlos;BRA;DF;Aston Villa;Premier League;29;1993;2;0;0;0;1
Juan Carlos;ESP;GK;Girona;La Liga;35;1988;10;0;0;0;0.1
José Carlos Lazo;ESP;MFFW;Almería;La Liga;26;1996;0.2;0;0;0;0
José Carlos Lazo;ESP;MFFW;Espanyol;La Liga;26;1996;1.4;0.25;0.71;0;4.29
Carmona;ESP;MF;Elche;La Liga;21;2002;2.9;0.25;0.34;1.03;5.17
Carmona;ESP;DF;Sevilla;La Liga;21;2002;5.9;0.4;0.34;0;3.39
Marco Carnesecchi;ITA;GK;Cremonese;Serie A;22;2000;12;0;0;0;0
Yannick Carrasco;BEL;DFMF;Atlético Madrid;La Liga;29;1993;10.8;0.04;1.85;0.56;2.13
Dani Carvajal;ESP;DF;Real Madrid;La Liga;31;1992;12;0;0.75;0;2.92
Fabio Carvalho;POR;MFFW;Liverpool;Premier League;20;2002;3.7;0.18;0.27;0;3.51
Matis Carvalho;POR;GK;Montpellier;Ligue 1;23;1999;1.5;0;0;0;0.67
William Carvalho;POR;MF;Betis;La Liga;30;1992;15;0.14;0.67;0.13;2.07
Nicolò Casale;ITA;DF;Lazio;Serie A;24;1998;14.6;0.14;0.27;0;2.81
Casemiro;BRA;MF;Manchester Utd;Premier League;30;1992;13.7;0.12;1.17;0;5.69
Casemiro;BRA;MF;Real Madrid;La Liga;30;1992;0.1;0;0;0;0
Matty Cash;POL;DF;Aston Villa;Premier League;25;1997;13.2;0;0.53;0.08;3.79
Timothy Castagne;BEL;DF;Leicester City;Premier League;27;1995;20.2;0.09;0.59;0;3.51
Michele Castagnetti;ITA;MF;Cremonese;Serie A;33;1989;7.6;0;2.24;0;3.68
Koen Casteels;BEL;GK;Wolfsburg;Bundesliga;30;1992;20;0;0;0;0.05
Valentín Castellanos;ARG;FW;Girona;La Liga;24;1998;16.8;0.07;0.54;0.12;0.65
Jean-Charles Castelletto;CMR;DF;Nantes;Ligue 1;28;1995;16.3;0;0.06;0.06;4.05
Samu Castillejo;ESP;FW;Valencia;La Liga;28;1995;10.7;0.1;1.4;0.47;2.34
Jonny Castro;ESP;DF;Wolves;Premier League;28;1994;11.3;0;0.27;0;3.54
Gaetano Castrovilli;ITA;MF;Fiorentina;Serie A;25;1997;0.6;0;0;0;3.33
Danilo Cataldi;ITA;MF;Lazio;Serie A;28;1994;15.5;0;0.9;0;2.52
Catena;ESP;DF;Rayo Vallecano;La Liga;28;1994;19;0.2;0.21;0;1.32
Yoann Cathline;FRA;FWMF;Lorient;Ligue 1;20;2002;6.1;0.06;0.82;0.66;2.46
Maximiliano Caufriez;BEL;DF;Clermont Foot;Ligue 1;25;1997;15.4;0;0;0;2.86
Edinson Cavani;URU;FW;Valencia;La Liga;35;1987;10.5;0.13;0.95;0;0.48
Dani Ceballos;ESP;MF;Real Madrid;La Liga;26;1996;6.3;0;2.22;0.16;4.29
Federico Ceccherini;ITA;DF;Hellas Verona;Serie A;30;1992;11.5;0.2;0.35;0;2.43
Assan Ceesay;GAM;FW;Lecce;Serie A;28;1994;10.3;0.13;0.29;0.19;1.65
Emil Ceide;NOR;FW;Sassuolo;Serie A;21;2001;3.5;0;1.71;0.29;1.43
Zeki Çelik;TUR;DF;Roma;Serie A;25;1997;11;0;1.18;0;4.18
Fabien Centonze;FRA;DF;Nantes;Ligue 1;27;1996;8.2;0;0.37;0.12;5
Franco Cervi;ARG;MF;Celta Vigo;La Liga;28;1994;14.6;0;0.96;0;5.27
Julio César Enciso;PAR;FWMF;Brighton;Premier League;19;2004;1.5;0;0.67;0.67;0.67
